col,OPC,EN,Microglia,oRG,Vascular,IN,IPC-EN,RG
ACOT1,-0.6049252220037136,-0.6030586454502747,-0.5764637340291016,-0.6059183351402839,-0.12744635708594076,-0.3903560247951733,-0.5926862898475288,-0.4518225364036541
ACOT7,0.4385263026182016,1.4941864317633247,-0.6207996325421058,-0.314192021984201,-0.5620482276385775,-0.09267524457887075,0.3939945743316026,-0.40862677419338395
ACOT9,-0.6574977603275602,-0.5075516931283641,-0.16631102290242064,-0.4398148165465581,0.7918730770047763,-0.3903560247951733,-0.4542766639169763,-0.4518225364036541
ACOX1,-0.5764006592844552,-0.5781316701302629,-0.6916219694379537,-0.5978875615781697,-0.7628347654055366,-0.3903560247951733,-0.6249396171009522,-0.4000551202880123
ACOX3,-0.4930798391403558,-0.7036941657441096,-0.6005916405395942,-0.6240417424224167,-0.60461178029738,-0.34379221459602677,-0.6327564373141293,-0.4518225364036541
ACP1,0.10513096617921543,0.3647572367173896,-0.014437865943188546,0.5299593645909204,0.17056817348620573,-0.20003761208328857,0.898133194613808,-0.1354495851334656
ACP2,-0.589394192374838,-0.6243088657790611,0.4024604322840757,-0.6207882145191181,-0.7628347654055366,-0.3903560247951733,-0.6802733844188956,-0.42023649362070653
ACSL3,-0.6574977603275602,-0.7036941657441096,-0.6916219694379537,-0.6243687483937054,-0.7628347654055366,-0.3903560247951733,-0.6387932729066503,-0.4518225364036541
ACSS1,-0.6574977603275602,-0.7036941657441096,-0.5828476260612112,-0.5726716936466418,-0.7628347654055366,-0.3903560247951733,-0.656831676925206,-0.4518225364036541
ACTA1,0.5901158818069876,1.5980858087311074,1.2409145578046261,0.8581759581852519,1.1157995451630631,0.8589776215601267,0.8417211933562468,0.24682083370717298
ACTL6A,-0.2076233318598845,0.3599727895670224,-0.34745061702189606,-0.0175906902982857,0.0718237970697796,-0.3331959736964223,0.7107634467609771,-0.28915630559667443
ACTN1,-0.6574977603275602,-0.5660229459541181,-0.6916219694379537,-0.5216403069675062,1.4649187672307555,-0.3363729764622675,-0.5700392697409841,-0.4518225364036541
ACTN4,0.739268480550263,0.5100859489717978,1.8710485109325639,1.619924582503279,2.709895631688709,0.13116801341788534,1.550960236980374,0.47621478005849693
ACTR1A,1.5148732322060325,1.492830446082743,0.9449968740332266,0.8787788059867081,2.032884318677088,0.01860285875429213,1.4243729372903822,0.10496846423282458
ACTR1B,-0.10995112270973402,0.7581792114090952,-0.562451409865732,-0.12337269780509615,-0.7628347654055366,0.5572609804757133,-0.12372872508370755,-0.07710151162274068
ACTR2,0.015323848566761335,0.5127472822642244,2.313854188215027,-0.26880628761266345,1.9880409423293905,-0.23472193257659987,-0.1340451519309925,-0.352072082734974
ACTR3,-0.026592306634270067,0.20465486156872334,2.1871692842303765,-0.22512468426582985,2.0718672251451546,-0.3049277591735913,-0.029970241975633333,-0.32959853941798034
ACY3,-0.6158002068125821,-0.6710690550084587,1.5256276091243801,-0.6471303998229571,-0.575894465805905,-0.3903560247951733,-0.5963083728963995,-0.4518225364036541
ACYP1,-0.6574977603275602,-0.5348709132192432,-0.6916219694379537,-0.6287651591792445,-0.7628347654055366,-0.3903560247951733,-0.5278420346266341,-0.4518225364036541
