gene_id,colors
TGM3,tan
DHX9,greenyellow
CRYZ,black
LGALS3BP,greenyellow
DSC1,black
SSRP1,black
RBBP4,magenta
AHNAK,tan
AP1B1,tan
KIF1A,greenyellow
SCRN1,black
TP53BP1,blue
ILF2,greenyellow
ILF3,yellow
LMAN2,blue
GPS1,greenyellow
HNRNPA0,greenyellow
PRDX4,black
PAK2,yellow
CBX3,black
PSMD2,yellow
SELENBP1,tan
SRSF9,black
SRSF6,blue
MAD2L1,black
TRIM28,magenta
G3BP1,black
PABPC4,tan
EIF3I,black
DYNC1I2,blue
NNT,yellow
TUBB3,blue
ASAH1,greenyellow
CAMK2D,greenyellow
DCTN2,blue
IQGAP2,tan
SPTAN1,yellow
PKP1,greenyellow
DDX39B,greenyellow
BLMH,greenyellow
TUBB2A,blue
IDI1,black
CKAP5,black
CIRBP,greenyellow
COTL1,blue
HNRNPD,blue
SCARB2,tan
TRIM29,greenyellow
UBAP2L,greenyellow
MLEC,tan
TTLL12,tan
CRMP1,blue
DPYSL3,blue
DYNC1H1,yellow
EIF4A2,yellow
CTTN,blue
RCN2,black
CAPRIN1,black
RBM39,yellow
MCM6,black
DSC3,tan
CLINT1,tan
SMC1A,black
GANAB,black
GRM3,greenyellow
CHD4,black
LASP1,blue
KPNB1,black
NUMA1,magenta
PSMD6,blue
SEPTIN2,black
EFTUD2,black
ACOX1,greenyellow
EEA1,tan
PDIA6,black
PAFAH1B3,blue
PEA15,magenta
EBP,blue
PMVK,tan
PLEC,tan
PPA1,yellow
PTGES3,black
NONO,greenyellow
RAB35,greenyellow
RCN1,black
PCBP1,greenyellow
PCBP2,greenyellow
ELOB,black
SF3B3,black
CNN3,black
SAFB,yellow
PPP1R7,yellow
SF3A1,black
CDSN,tan
MAPRE2,tan
TSN,yellow
MAPRE1,yellow
ELAVL1,black
NSDHL,tan
CST6,greenyellow
NEDD8,yellow
ATP6AP1,greenyellow
RAB11B,yellow
SNCB,greenyellow
SEPTIN7,black
INA,blue
DDB1,black
DPYSL2,greenyellow
RBBP7,black
ECM1,greenyellow
SRSF7,greenyellow
CPSF6,black
DBN1,blue
FSCN1,greenyellow
DECR1,black
H2AC19;H2AC20,tan
RTN1,blue
HADH,black
UGP2,tan
TXNRD1,yellow
IMMT,black
NKPD1,greenyellow
HNRNPUL2,yellow
PLA2G4E,greenyellow
HSDL1,blue
TUBB8,greenyellow
ASPRV1,greenyellow
ACTBL2,greenyellow
FLG2,black
ATAT1,blue
HP1BP3,blue
CCDC183,greenyellow
KPRP,greenyellow
XP32,greenyellow
CROCC,black
YOD1,greenyellow
NXN,tan
PTRHD1,tan
TWF2,greenyellow
HIBCH,magenta
PRPF8,black
SBSN,greenyellow
NAPRT,tan
HSDL2,tan
EML6,black
NCCRP1,greenyellow
TUBA1A,blue
SND1,black
RUFY3,blue
BZW1,black
CYFIP1,tan
ERMP1,greenyellow
MYH14,greenyellow
DCXR,black
HUWE1,tan
CENPV,blue
C11orf96,greenyellow
RALYL,greenyellow
PABPN1,black
MTDH,blue
ALYREF,black
CAND1,yellow
NIT1,tan
HRNR,greenyellow
PLD3,tan
SELENOH,blue
CCAR2,yellow
SDR16C5,greenyellow
CPSF7,yellow
TXNDC5,tan
SERBP1,tan
APPL2,tan
SDR9C7,greenyellow
LPCAT1,greenyellow
SYNE1,black
SMARCC2,yellow
DENND1A,magenta
SHROOM3,greenyellow
PDCD6IP,greenyellow
BRK1,tan
POF1B,greenyellow
PALLD,tan
PSPC1,yellow
SYNE2,black
DNAJC9,black
IRGQ,blue
DDX1,blue
H1-10,blue
NCSTN,tan
TM9SF4,tan
NDRG1,greenyellow
HSPH1,black
MYO18A,greenyellow
GCN1,tan
ANP32B,black
TFG,black
ARPC1A,yellow
HDAC2,yellow
TAF15,greenyellow
EVPL,greenyellow
GGH,black
DDX17,greenyellow
GLG1,tan
UPF1,tan
KHSRP,magenta
TNPO1,black
USP7,tan
STMN2,blue
MYDGF,greenyellow
WBP2,blue
FUBP1,greenyellow
LRRC59,black
EFHD2,greenyellow
PPP1R14B,blue
ISOC1,greenyellow
AP2M1,blue
KCTD12,greenyellow
ZG16B,greenyellow
NUDT16,greenyellow
CMBL,greenyellow
SNRNP40,yellow
MUCL1,greenyellow
S100A16,greenyellow
OTUB1,blue
PGM2,tan
ACY3,greenyellow
ERO1A,tan
ATP5MK,black
BTF3L4,blue
PBK,black
CNDP2,yellow
CAPNS2,tan
SNX27,tan
LINC01600,black
MBOAT7,tan
SERPINB12,tan
IPO9,yellow
RBM14,yellow
NEDD4L,yellow
QKI,tan
GSDMA,greenyellow
VPS35,black
UHRF1,black
NIBAN2,tan
TBCB,yellow
PSMB7,yellow
PSMD1,blue
PARK7,magenta
SORT1,greenyellow
VAT1,greenyellow
PHB2,black
COPS8,greenyellow
HSD17B10,yellow
HNRNPAB,blue
ACO2,yellow
TM9SF2,tan
CPNE1,yellow
CCT7,yellow
PRMT1,black
DPYSL5,blue
NIPSNAP1,blue
ARPC5L,tan
HOPX,tan
WDR77,tan
TXNDC17,yellow
PRXL2A,black
ERP44,black
ANP32E,greenyellow
TMEM43,tan
TUBB6,tan
HNRNPUL1,black
BDH2,tan
TUBB2B,greenyellow
PBDC1,tan
TMED9,black
SARG,greenyellow
ACAT2,black
SRRT,yellow
HELZ2,greenyellow
API5,yellow
DPY30,blue
PITHD1,greenyellow
WDR61,tan
SRR,blue
HDHD2,tan
C11orf54,greenyellow
SDCBP2,greenyellow
NUCKS1,greenyellow
EHD4,greenyellow
SH3BGRL3,blue
PPA2,tan
RNPEP,greenyellow
DCTPP1,greenyellow
TUBA4B,greenyellow
SFXN1,black
MYG1,tan
CACYBP,black
GLOD4,yellow
S100A14,greenyellow
TM9SF3,greenyellow
APMAP,yellow
BPIFA1,greenyellow
RAB18,yellow
VTA1,yellow
ISYNA1,black
RTN4,yellow
NIT2,greenyellow
GPHN,greenyellow
EIF2B3,greenyellow
MBNL1,magenta
FARSB,blue
SNTG1,magenta
SMC4,black
SACM1L,tan
OLA1,yellow
DDX19A;DDX19B,tan
SEPTIN11,black
ARL8B,greenyellow
GAR1,blue
DPP3,greenyellow
UGGT1,tan
MAT2B,black
CALML5,tan
HACD3,blue
VAPA,blue
SPATA7,magenta
RCC2,black
SEMA5B,magenta
LARS1,blue
MYEF2,yellow
SAE1,black
DHCR7,blue
EIF3K,black
GRHPR,black
CTSZ,tan
UBA2,black
TJP2,greenyellow
SEPTIN3,blue
SUN2,blue
SEPTIN9,black
PCYOX1,tan
PUF60,black
ENOPH1,black
TAGLN3,blue
CPA4,greenyellow
NAGK,yellow
DBNL,tan
JPT1,blue
PTBP2,blue
TNIK,magenta
NUDT5,black
RALY,black
RAB21,tan
PSME2,black
MCTS1,tan
CORO1C,greenyellow
PYCARD,greenyellow
MYO6,greenyellow
PRPF19,black
NDRG2,black
PSMD13,black
NOVA2,blue
NSFL1C,yellow
MACF1,blue
SRRM2,black
PA2G4,black
BAIAP2,greenyellow
SMC3,black
RTRAF,yellow
RUVBL2,yellow
EIF3L,tan
RUVBL1,yellow
NUDC,black
VDAC3,yellow
FARSA,blue
NCKAP1,greenyellow
CNPY2,tan
SUGT1,tan
LSM2,blue
TMED7,tan
RTCB,yellow
NEU2,greenyellow
RPL36,black
TLN1,tan
SUPT16H,black
RBM8A,black
HEBP2,tan
PSAT1,black
CLIC4,black
DYNC1LI1,tan
IGF2BP2,tan
RTN3,greenyellow
H2AC6;H2AC8;H2AW,greenyellow
RPS27A;UBA52;UBB;UBC,greenyellow
EIF4B,greenyellow
ELAVL4,greenyellow
RAB2A,greenyellow
PPP2CA;PPP2CB,greenyellow
GATAD2A,greenyellow
MIEN1,greenyellow
AP1M1,greenyellow
ABRACL,greenyellow
ATXN10,greenyellow
CLIP2,greenyellow
SHTN1,blue
CROCC2,greenyellow
PDLIM1,greenyellow
GTPBP1,greenyellow
NDUFS8,yellow
PSMD9,tan
ATOX1,blue
WASL,greenyellow
IGF2BP3,tan
DNM1L,blue
PSMD14,tan
NOP56,blue
KPNA4,tan
UBE2C,black
SCD,greenyellow
CDIPT,tan
PDCD5,tan
SLC9A3R1,tan
TCERG1,blue
TNPO2,tan
PPP1R12A,tan
SEC16A,greenyellow
PFAS,tan
PGRMC2,black
PFDN6,greenyellow
OGT,greenyellow
RNMT,greenyellow
PRPF4,tan
NDUFS4,tan
PSMD3,tan
EEF1E1,tan
PRPF3,greenyellow
EIF4G3,greenyellow
PPIH,greenyellow
AKR7A2,tan
XPOT,black
PRC1,greenyellow
NDUFA2,tan
AP1G1,greenyellow
SGTA,greenyellow
MYO1B,tan
RAD21,tan
PRPSAP2,black
KIF5C,blue
OPA1,blue
KDM1A,greenyellow
NME2P1,tan
SNX3,tan
OGA,yellow
DPM1,tan
PRAF2,yellow
DKC1,greenyellow
EIF5B,tan
DNAJA2,tan
PFDN1,yellow
NDUFS7,greenyellow
NDUFS2,tan
SEC22B,tan
PRPF40A,tan
ZNF324;ZNF324B,yellow
CSDE1,blue
TIPRL,tan
NUP155,greenyellow
SLC25A12,greenyellow
RNASEH2A,greenyellow
EIF3J,greenyellow
PSMD10,tan
DCTN3,yellow
SMNDC1,greenyellow
FLOT1,tan
GLRX3,greenyellow
MTA2,blue
UBXN7,blue
PRPF6,black
SEC31A,blue
NDUFB4,blue
VAPB,tan
NDUFA10,tan
FKBP9,blue
SMC2,black
GCNT3,black
AHSA1,blue
AP2A1,blue
AIFM1,tan
BPNT1,tan
TXNDC12,tan
EOMES,greenyellow
NUDT3,blue
TOMM40,tan
ACTL6A,yellow
MT-CO2,yellow
HPRT1,greenyellow
MT-ATP6,greenyellow
HBE1,greenyellow
FTH1,tan
SOD2,tan
OAT,greenyellow
THY1,tan
GNAI2,yellow
ITGB1,tan
UROD,greenyellow
ACYP1,greenyellow
APRT,tan
UQCRH,tan
PFKM,blue
CYC1,greenyellow
SNRPB2,blue
RPS17,blue
ROS1,greenyellow
SNRPC,blue
RO60,tan
ERVK-10;ERVK-19;ERVK-21;ERVK-24;ERVK-25;ERVK-7;ERVK-8;ERVK-9;HERV-K104;HERVK-113,magenta
H1-4,yellow
COX5B,black
MAPT,blue
UMPS,tan
G6PD,greenyellow
SLC25A4,tan
SLC25A6,black
MYL4,tan
SRC,tan
COX4I1,yellow
NCAM1,blue
P4HA1,tan
TPT1,black
PRKAR2A,blue
CCNB1,greenyellow
COX6B1,yellow
RAC2,tan
HMGA1,blue
ITGA2,tan
UBTF,yellow
PRKACA,tan
CTPS1,tan
NDUFV2,greenyellow
EIF2S2,tan
POU3F2,blue
RAB3B,greenyellow
RAB6A,black
GPD1,blue
SDHB,tan
COMT,tan
TCEA1,tan
WARS1,black
DTYMK,greenyellow
ACP1,black
TNC,greenyellow
POLR2A,magenta
MAPK3,blue
DCK,tan
TMOD1,greenyellow
GCA,tan
PML,tan
GNA11,blue
ALDH4A1,tan
DDT,blue
ECHS1,tan
POLR2B,greenyellow
SDHA,tan
RFC4,magenta
RFC2,black
CBS,greenyellow
LONP1,greenyellow
PGM1,black
NUP62,tan
ETFB,tan
CAP2,blue
CSK,greenyellow
EIF1,yellow
MTREX,greenyellow
PI4KA,greenyellow
CASP3,tan
RPS27,black
LRPPRC,tan
RPL35,tan
MSH2,black
GPD2,blue
CRK,tan
CRKL,blue
UQCRFS1,blue
PITPNB,tan
CENPF,black
AARS1,black
YLPM1,greenyellow
NDUFV1,tan
SEPHS1,blue
MRE11,tan
GNG10,tan
GATM,tan
RAB5C,black
DAP,greenyellow
NOVA1,greenyellow
SMARCA4,blue
GALK1,tan
MECP2,blue
HCFC1,yellow
ALDH5A1,greenyellow
PSMD7,greenyellow
UBE2D1,tan
USP11,tan
NCBP2,blue
GTF2A2,blue
KIF11,black
MRPL12,black
SUCLG1,greenyellow
AP2S1,tan
IST1,tan
SEC24C,tan
AK2,tan
PSMD4,tan
AFDN,tan
ADAR,greenyellow
SNU13,blue
OXCT1,tan
MARS1,tan
ATP5ME,yellow
JAM2,tan
CORO7,greenyellow
NUP107,tan
RAB15,greenyellow
GNG2,greenyellow
PPP4C,greenyellow
DSTN,yellow
RAB5B,tan
UBE2M,blue
UBE2K,greenyellow
ACTR1A,yellow
RAP1B,tan
PCBD1,tan
NCALD,blue
STXBP1,blue
WDR5,tan
PSMC1,blue
LSM6,greenyellow
PSMC6,tan
ETF1,greenyellow
RPS6,black
FKBP1A,blue
GRB2,tan
AP2B1,yellow
PPP3R1,tan
DYNLT1,blue
SUPT4H1,greenyellow
TMSB10,blue
CSNK2B,greenyellow
HBG1,greenyellow
HBG2,greenyellow
EIF4G2,yellow
MAP1A,tan
SSBP2;SSBP3,blue
RBM10,greenyellow
RBM3,greenyellow
CYCS,tan
TFAM,greenyellow
CDK6,greenyellow
SRSF2;SRSF8,yellow
TAGLN,tan
OGDH,greenyellow
UBXN1,yellow
TLE3,blue
CALD1,tan
TJP1,tan
TLE5,greenyellow
PPP3CA,blue
CD47,greenyellow
PPID,greenyellow
NCBP1,greenyellow
CHD3,greenyellow
SF3A3,yellow
AIMP1,tan
ELAVL2,yellow
TRAP1,greenyellow
ECH1,tan
ACACA,tan
TARDBP,yellow
MTA1,tan
CTBP1,yellow
SF3B2,black
PDAP1,blue
SNX1,tan
CUL3,blue
CUL4A,tan
FHL1,greenyellow
AAMP,magenta
SAFB2,tan
EIF3A,greenyellow
SCRIB,tan
DCTN1,blue
FLOT2,tan
FRG1,greenyellow
GNA13,black
ELAVL3,blue
PUM1,greenyellow
USP10,greenyellow
MESD,blue
MFSD10,tan
LBR,blue
KIF22,black
NFIX,greenyellow
SART3,greenyellow
KARS1,greenyellow
ARHGEF6,tan
EIF4H,black
LLGL1,tan
RHEB,greenyellow
TOMM20,greenyellow
SF3B4,blue
SF3A2,tan
SEC23A,greenyellow
ZYX,tan
CCDC6,tan
PSMD5,tan
CSRP2,black
CDC37,greenyellow
TBR1,greenyellow
TST,greenyellow
NDUFA9,tan
PDS5A,black
SMU1,greenyellow
GLYR1,greenyellow
