col,oRG,EN,IPC-EN,IN,RG,Microglia,Vascular,OPC
ACACA,0.8361935115714452,0.9715543125459112,0.717144629201931,0.23286669213724884,0.5310381888859544,0.18167043975969763,0.16619162609386057,0.4464906204994917
ACAD8,0.2482238017311081,0.2548147077308998,0.2294085018149497,0.1363130341665745,0.1693684963905138,0.049830888345271704,0.057770251275668684,0.14533955112573033
ACADM,0.6041073488443709,0.43408550604254736,0.6344870215382822,0.19494733220978505,0.4927522231321958,0.14605158131271362,0.1390718474548995,0.18058480869636181
ACADVL,0.5349526622177189,0.45510665993569965,0.43455871602585044,0.22225835065907018,0.4977469143814549,0.23097663386374162,0.30991235703325903,0.21808785823368596
ACAP1,0.006138224351007689,0.0022771016571456948,0.002634288572199317,0.00048035147647951856,0.005911321967549196,0.0,0.001960812391965899,0.004590378679204935
ACAT1,0.47891476420047896,0.6354437948218161,0.45780861072035045,0.31977792672403027,0.4197424325476097,0.1813163925679893,0.1867466109101852,0.26807982153436855
ACAT2,1.2457920015625743,1.009032407679978,0.9008614628923663,0.2760523938702896,0.7339975309505187,0.2735791017920569,0.2461234814908947,0.4931207884497614
ACBD3,0.44098664996002995,0.557187067616116,0.5334534077619688,0.2966295941437446,0.30796957096245325,0.1615020534545906,0.2038555630770424,0.17599443001715687
ACIN1,0.42383679158567017,0.6021749330553939,0.6789581751438126,0.3328026083427303,0.31555668391705294,0.15816518432213614,0.16606017206888285,0.2406946125493198
ACLY,0.47785495676862916,0.526468198239638,0.6946866357006449,0.18217317887371373,0.30414441390413566,0.09664257337210308,0.12558647052273003,0.2092597135542086
ACO1,0.38552775829204305,0.28047659434169303,0.20907642822923853,0.07261395598752468,0.22876851646672314,0.054832875508610344,0.11282361922530736,0.12281506515445775
ACO2,0.48150043488924693,0.41592953476957395,0.4927553950385136,0.24650650647872624,0.3402809122202422,0.13697317879824517,0.10999125642397255,0.17408925072939668
ACOT1,0.0025969410715801764,0.0009422213447327861,0.000493929107287372,0.0,0.0013693148568944,0.0,0.0,0.0
ACOT7,0.2883068005579568,0.7979827394763656,0.5651032794613552,0.283627973826251,0.27872089229780483,0.12341087924362183,0.10458943887125845,0.1109491084046031
ACOT9,0.39479145902212087,0.2400809732881835,0.3078137269347859,0.04320490733377299,0.2995425741352597,0.08892145306694657,0.19468466124955128,0.1255002645459026
ACOX1,0.6272069176857729,0.65405371546911,0.601158686699548,0.28365071340327547,0.3884461533629705,0.13887894702289055,0.1427515662272681,0.29526948093066563
ACOX3,0.21434204383929933,0.2831734580761355,0.1838303056856902,0.16947528573415122,0.15124165009024074,0.05572165758515791,0.06774090875976464,0.08990239429633859
ACP1,0.35948136603852054,0.2668332363069749,0.3837241033244832,0.12466529445971813,0.2604587191324745,0.068801058291381,0.09330678034261808,0.07344605886727897
ACP2,0.36756316252922167,0.2800424618180505,0.31572018642517813,0.14605580353689412,0.27520711951662036,0.13313933589432536,0.11226768911482701,0.1109491084046031
ACSL3,0.6108889117468882,0.7264738703851065,0.633757094672068,0.3549383377644391,0.5394035085375388,0.1935692197443147,0.2821043002621421,0.4289791189416496
ACSS1,0.4766071245807372,0.029847574333030907,0.15132977457629054,0.10092088148223521,0.2948222370885805,0.07376945264081412,0.07377237071028445,0.0642653015088691
ACTA1,0.0009443422078473369,0.002539901016236206,0.008493104825811252,0.0024017573823975928,0.0013693148568944,0.0,0.001960812391965899,0.0
ACTL6A,0.3956225718297497,0.31482982904184026,0.7712599951885849,0.21780331645845855,0.46067051512095647,0.10270017410725328,0.15786616070284196,0.2043167221960711
ACTN1,0.6101418402502854,0.1735646499960617,0.28234007145146445,0.045796637716221465,0.5090119736573686,0.05524035719763554,0.41223309801419533,0.06773052100399855
ACTN4,0.5611315538935903,0.4307312702555204,0.5079438712476076,0.27515499811564625,0.45701364038338566,0.1314320697254008,0.47759394365737934,0.28120748903917775
ACTR1A,0.7156288244103967,1.3696559885731394,1.3465171691126243,0.8631175053754602,0.7353023153402649,0.32973401070654873,0.37288466390674196,0.5476524756203572
ACTR1B,0.7144744776364994,0.6535956474141251,0.6517412501294292,0.2516068902922362,0.5401929992569183,0.18860242385575945,0.21178074682089348,0.2613977014682863
ACTR2,0.2709550928530895,0.3262405427234111,0.2853464154368657,0.15520998919994294,0.22205976717373677,0.1787239225654908,0.15771873212819135,0.09527279307922817
ACTR3,0.3549008545194258,0.510530387887543,0.45938032170392795,0.2992314560879314,0.30476277087110104,0.1573678165814775,0.1439914491844586,0.16759369276243163
ACY3,0.0,4.096614542316461e-5,0.0,0.0,0.00054772594275776,0.1285798141608715,0.0009804061959829496,0.0
