col,OPC,EN,Microglia,oRG,Vascular,IN,IPC-EN,RG
ACOT7,0.35273559236065677,0.5034437551850596,0.012836058899258247,0.1199988165607207,0.04780325383172036,0.10023611154123287,0.34333160354591524,0.0087191451481596
ACOT9,0.0,0.03738886859232877,0.14119664789184072,0.07692113125293054,0.41851210953407647,0.0,0.0655731275205126,0.0
ACOX1,0.01615606306864867,0.018694434296164384,0.0,0.021538842653895083,0.0,0.0,0.00757663647357317,0.0087191451481596
ACOX3,0.04846818920594601,0.0,0.0203446720123724,0.017696389819536345,0.03788318236786585,0.011279186121823968,0.009966799165159189,0.0
ACP1,0.2473379765237123,0.24510617000877907,0.18939460502969965,0.4076320698115362,0.2529978246106075,0.06557181876129727,0.5120016202572959,0.11417612503939249
ACP2,0.01615606306864867,0.012232009068704915,0.3049191351230239,0.01811589361409288,0.0,0.0,0.0,0.005501168099682105
ACSL3,0.0,0.0,0.0,0.011980321639307696,0.0,0.0,0.0023901626915860184,0.0
ACSS1,0.0,0.0,0.025672117798516494,0.03523063881310388,0.0,0.0,0.0023901626915860184,0.0
ACTA1,0.4042860244774242,0.529341911285656,0.5440236230135549,0.5154972002885224,0.5100571332093662,0.4457850820419575,0.4912212540988169,0.25361206577920026
ACTL6A,0.1419403606867679,0.2413353983651265,0.09203357962177777,0.22107619125991043,0.22323761021904395,0.014807929497752517,0.44818606897949437,0.05449947051160224
ACTN1,0.0,0.016309345424939888,0.0,0.041947855408414406,0.5957435694089523,0.0038189927303578252,0.0202969104532764,0.0
ACTN4,0.44334388035923583,0.2665719698497995,0.7132827043015999,0.7613953559466775,0.9376325886901554,0.17291753764377496,0.7127752863505209,0.32876780363559915
ACTR1A,0.7067075069299208,0.5035244606424921,0.45851264697676514,0.5210587637560287,0.7604011288152795,0.14083237496414755,0.6800380404705781,0.19963376220821205
ACTR1B,0.17293802268973166,0.33278413919206384,0.02980440578581667,0.18446156305480602,0.0,0.3354080892830393,0.17472446263206123,0.13207415710097511
ACTR2,0.21329374692087993,0.27495349531380275,0.8469707390803265,0.13482044261930526,0.7472762988804157,0.04849880875986682,0.17056057560154214,0.029276821064396316
ACTR3,0.20041920666567553,0.2042530944853802,0.8118388875083657,0.15038585412438396,0.7711779257962759,0.02403094015103997,0.20542490025439455,0.03850817669777474
ACY3,0.01019334089058743,0.004077336356234972,0.627036663799246,0.011980321639307696,0.04780325383172036,0.0,0.02390162691586018,0.0
ACYP1,0.0,0.03669602720611475,0.0,0.01911704202917477,0.0,0.0,0.04721739508415003,0.0
ACYP2,0.050966704452937155,0.02038668178117486,0.0,0.02396064327861539,0.04780325383172036,0.0,0.01673113884110213,0.0
ADA,0.4976609745065641,0.3611926230196056,0.18601827990388567,0.5612552783509411,0.772975029283828,0.9605715541377211,0.39079719278915603,0.8827735362106662
ADAM15,0.0,0.006462425227459468,0.0,0.0017114745199010995,0.0,0.0,0.0023901626915860184,0.0
ADAR,0.07463490904755628,0.028541354493644804,0.012836058899258247,0.04876308059913349,0.07170488074758054,0.0038189927303578252,0.04203092130216288,0.0
ADD1,0.07135338623411201,0.11285944716320034,0.0,0.18106371399830992,0.4243706970097799,0.014483458325145403,0.09285692427434428,0.02200467239872842
ADD2,0.01019334089058743,0.02038668178117486,0.0,0.034229490398021985,0.02390162691586018,0.009547481825894563,0.02390162691586018,0.0
ADD3,0.02038668178117486,0.004077336356234972,0.0,0.030806541358219787,0.33462277682204256,0.0,0.004780325383172037,0.005501168099682105
ADGRV1,0.0,0.0,0.0,0.005134423559703298,0.0,0.0,0.0,0.0
ADH5,0.785103124262852,0.626536399219372,0.3221175286762222,0.9411025499659088,0.7910180687239848,0.2607933860025513,0.8926272383924896,0.4823779349146441
ADK,0.03058002267176229,0.07000755944220856,0.012836058899258247,0.3342291097410269,0.40859203807022193,0.006052960268143854,0.22576075555808045,0.11823029665658288
ADNP,0.0,0.016309345424939888,0.0,0.0,0.0,0.0038189927303578252,0.035852440373790276,0.0
AFDN,0.01019334089058743,0.028541354493644804,0.012836058899258247,0.005134423559703298,0.0,0.0038189927303578252,0.007170488074758054,0.0
AFG3L2,0.058661530096533444,0.02684910700863433,0.15088642833192492,0.03339048280890891,0.09560650766344073,0.0,0.018129294386302695,0.0087191451481596
AGA,0.0,0.0,0.025672117798516494,0.0017114745199010995,0.02390162691586018,0.003026480134071927,0.0,0.0
AGK,0.0,0.004077336356234972,0.012836058899258247,0.003422949039802199,0.0,0.0,0.0023901626915860184,0.0
AGL,0.03058002267176229,0.053005372631054634,0.0,0.015403270679109895,0.02390162691586018,0.005728489095536737,0.05019341652330638,0.005501168099682105
AGO1,0.05692942663099839,0.08462465738213795,0.025672117798516494,0.04023638088851331,0.02390162691586018,0.005728489095536737,0.05520017995653831,0.01100233619936421
AGO3,0.050966704452937155,0.016309345424939888,0.06418029449629123,0.018826219718912095,0.04780325383172036,0.0,0.007170488074758054,0.005501168099682105
AGRN,0.0,0.0,0.0,0.0,0.11950813457930091,0.0,0.0,0.0
AHCY,0.9591397353992974,0.4538295158380246,0.360625705373997,1.0222613719107958,0.5420817281015285,0.3062920338518696,1.0019855544268603,0.9041842060014789
AHCYL1,0.03058002267176229,0.06593022308597359,0.25139373219902084,0.23085861590141057,0.18129294386302694,0.0076379854607156504,0.132724120934981,0.04722732184593434
AHNAK,0.07731610841217326,0.05978100088509535,0.05134423559703299,0.1150353102085284,0.44241373644993665,0.038393408851020536,0.09362717306354844,0.07438459699565571
AHNAK2,0.3565036213862492,0.25438177765785436,0.39636944226450016,0.3779208257275466,0.45026982262988813,0.06530725888506074,0.36248140339337276,0.06943099136809225
AHSA1,0.11559095672753182,0.16317316621044806,0.12836058899258246,0.13285160513081642,0.16145280093531789,0.006845472864429752,0.1554540303557005,0.0
AHSP,0.01615606306864867,0.014617097939929411,0.040689344024744806,0.003973920771442223,0.0,0.10354367894441845,0.0,0.0
AIF1,0.0,0.0,0.9022381143939419,0.003422949039802199,0.0,0.0038189927303578252,0.0,0.0
AIF1L,0.0263494039592361,0.02446401813740983,0.0,0.1309779897849465,0.0,0.0,0.06336267517768182,0.005501168099682105
AIFM1,0.036542744849823526,0.053005372631054634,0.2717384042113932,0.022249168758714293,0.22909619769474732,0.007962456633322767,0.028681952299032216,0.022939458396001304
AIMP1,0.01019334089058743,0.012232009068704915,0.0,0.006845898079604398,0.02390162691586018,0.0,0.0,0.0
AIMP2,0.0,0.014617097939929411,0.0,0.007136720389867073,0.0,0.0,0.0,0.0
AIP,0.01019334089058743,0.012232009068704915,0.025672117798516494,0.003422949039802199,0.0,0.0,0.007170488074758054,0.0
AK1,0.5150626348285994,0.45751393720662914,0.11770569742029427,0.12700685546629392,0.908261822802687,0.11507515400487732,0.1830972478070426,0.0
AKAP12,0.07135338623411201,0.07646998466966802,0.0,0.21874961277780908,0.791018068723985,0.0019094963651789126,0.25642672214988366,0.04494413079472973
AKR1A1,0.1640591459334778,0.22602545903898308,0.8191174539548399,0.12884701147048888,0.04780325383172036,0.02165340236218227,0.20330401188872552,0.0087191451481596
AKR1B1,0.7427803413525931,0.3926628321805012,0.8809074328534433,0.4190307468303185,0.10958806311544639,0.13554623781409683,0.48670183779623516,0.07795113939282236
AKR7A2,0.0,0.02038668178117486,0.012836058899258247,0.030806541358219787,0.0,0.0,0.020519457077888714,0.0
ALAD,0.01019334089058743,0.008154672712469944,0.042640464685074916,0.006135571974785185,0.0,0.08178698138237206,0.0023901626915860184,0.0
ALB,1.112477341884167,0.7480708158691346,0.6584431977197869,1.1792590892042478,0.507831666963243,2.132524887785002,1.0227833198778242,1.9405487371032994
ALDH16A1,0.0,0.0,0.08985241229480773,0.015403270679109895,0.0,0.0,0.0,0.005501168099682105
ALDH1A3,0.0,0.019387275682378403,0.0,0.007136720389867073,0.0,0.0,0.00757663647357317,0.0
ALDH2,0.17598459028960028,0.3141143233521911,0.8726428568788428,0.4101490925788754,0.7711779257962759,0.06680125981537004,0.23455583722809895,0.05916444404257143
ALDH3A1,0.0,0.012924850454918936,0.0,0.0,0.0,0.0,0.003788318236786585,0.0
ALDH3A2,0.02038668178117486,0.02446401813740983,0.0,0.03180768977330168,0.06178480928372603,0.0,0.025299782461060752,0.0
ALDH4A1,0.01615606306864867,0.016309345424939888,0.0,0.015403270679109895,0.0,0.0,0.0,0.0
ALDH5A1,0.11982157544005802,0.05439105540348267,0.0,0.12642521084576855,0.0,0.0,0.04721739508415003,0.0
ALDH6A1,0.15809642375541658,0.13017483700093546,0.358444538047027,0.7433463810159345,0.04780325383172036,0.017041897035538548,0.5394690187853303,0.19161505394699602
ALDH7A1,0.4673608574041096,0.2584172971373295,0.1455589825457808,0.731491954408131,0.5181801011856684,0.0567857365657967,0.6603753089098315,0.21249671394672684
ALDH9A1,0.7223936595714181,0.2502626244248596,0.7863968163764891,0.8804934021173408,0.7134546005007011,0.04979358459800934,0.7282017250490318,0.3726413907512867
ALDOC,0.01615606306864867,0.028541354493644804,0.0203446720123724,0.12012749804501457,0.12356961856745206,0.0,0.03147826338943335,0.014220313247841706
ALOX5AP,0.0,0.0,0.8601235659037132,0.003973920771442223,0.0,0.0,0.0,0.0
ALOXE3,0.0,0.008154672712469944,0.042640464685074916,0.003422949039802199,0.0,0.0,0.008568643619958622,0.0
ALYREF,0.8691483666345426,0.5048294379574876,0.5296756383913243,0.8063438701475478,0.4663153633657969,0.26507125807127235,0.8908190430230263,0.5811210993340326
ANK1,0.01019334089058743,0.008154672712469944,0.025672117798516494,0.0027126229349829865,0.0,0.08610823735458653,0.0,0.0
ANO10,0.01615606306864867,0.04692922407722675,0.0203446720123724,0.0309686821841886,0.0,0.10172158013155712,0.08609258459840131,0.10610494805822107
ANP32A,1.1913112570636546,0.9668726418052099,0.9320425201797585,1.1861288115943005,0.8975239400761663,1.6040583912765098,1.1245599503646848,1.5664589484586382
ANP32B,0.905743382580316,0.6083753823873234,0.763431782099789,0.971435877865048,0.5817620139569467,0.4424215258409942,0.9603340933438773,0.8217742323902024
ANP32E,0.3738886859232877,0.2450330963617287,0.1818859919165855,0.6258761500568849,0.10958806311544639,0.3360083555541665,0.5897726212018997,0.6376013182567547
ANTXR1,0.13001491633064544,0.039773957463553264,0.10682075918136615,0.12284290743278718,0.0856864361995862,0.013188682487002881,0.12753764715299384,0.08410027565949264
ANXA1,0.03058002267176229,0.016309345424939888,0.012836058899258247,0.12358390642649174,0.830698354579403,0.019566113927753856,0.044604685767951686,0.022939458396001304
ANXA11,0.02038668178117486,0.008154672712469944,0.3894441016316875,0.05693162229296776,0.02390162691586018,0.00987195299850168,0.007939948596531191,0.026446067541073048
ANXA2,0.1859952470625619,0.10878211080696534,0.14413377808029698,0.600556617369575,0.7770365132719792,0.03545680537622154,0.2931381870226088,0.22797579727533554
ANXA3,0.01019334089058743,0.0,0.0,0.005685395291343322,0.0,0.0038189927303578252,0.0023901626915860184,0.0
ANXA4,0.01019334089058743,0.0,0.62582060760448,0.007847046494686285,0.36664737171420503,0.003026480134071927,0.0,0.0
ANXA5,0.9166508641564096,0.5479878903910618,0.9848986814997639,1.146232968974663,0.9060363565565638,0.9244944634327137,1.0761479474834332,1.395333325406497
ANXA6,0.8633683285741072,0.25264771329608404,0.5497902637370568,0.9699155708755075,0.8744401244229723,0.08727950831246852,0.7715412379192332,0.6718563262139097
ANXA7,0.036542744849823526,0.05708270898728961,0.7081853051820955,0.12200111339088449,0.2669793800626131,0.016392954690324316,0.08311656315924497,0.019721481347523807
ANXA9,0.0,0.0,0.0,0.003422949039802199,0.0,0.0019094963651789126,0.0023901626915860184,0.0
AP1B1,0.06289214880905962,0.07239264831343305,0.624855496472276,0.0968771808712184,0.09560650766344073,0.005728489095536737,0.0725171775452108,0.0
AP1G1,0.03058002267176229,0.05131312514604417,0.033180730911630645,0.04892243497231267,0.04780325383172036,0.010664465594787578,0.04342907684736345,0.028440626495683408
AP1M1,0.14926981809511256,0.17404703925910361,0.058852848710147135,0.28114705908798515,0.04780325383172036,0.5650263416164263,0.21143203607933883,0.43504684520900083
AP2A1,0.05692942663099839,0.1370169005880277,0.21506672282821615,0.15255029178051652,0.5998050533971034,0.013613340007188165,0.13074010664221009,0.01100233619936421
AP2A2,0.0,0.008154672712469944,0.0,0.0,0.02390162691586018,0.0,0.0023901626915860184,0.005501168099682105
AP2B1,0.2659925548393522,0.17809682886295988,0.26641095842524914,0.31595107530096517,0.6615898626808295,0.0076379854607156504,0.3459482042875611,0.027505840498410525
AP2M1,0.15213370157735534,0.14140080165684513,0.36257682603432706,0.17931878013673383,0.6895529735848408,0.013366474556252388,0.1587894724923673,0.041726153746252236
AP2S1,0.06462425227459467,0.055390461502279144,0.15088642833192492,0.12229193570114716,0.4144506255459254,0.0,0.09227106552677392,0.0
APBB1IP,0.0,0.004077336356234972,0.6013645460007296,0.0,0.0,0.0,0.0,0.0
APEH,0.01615606306864867,0.030926443364869303,0.13805036943266666,0.06661882479184901,0.1952744993150326,0.0038189927303578252,0.037656744317805954,0.012773316765350002
APEX1,1.0909556220764247,0.7948603750282851,0.761250614772819,1.0034100522085776,0.5998050533971034,0.8761520857324838,0.9861134400846931,1.1364764114590942
API5,0.6100842256573306,0.33519384651957995,0.20223066392895792,0.5476203953322196,0.27104086405076433,0.13554623781409683,0.542894024899159,0.2054127916827837
APIP,0.0,0.0,0.012836058899258247,0.0017114745199010995,0.0,0.0,0.0023901626915860184,0.0
APMAP,0.8250934802587484,0.39643360382415366,0.5178046906242699,0.5773305661327385,0.6137866088491092,0.09940937712676917,0.4520211149175857,0.18102633680429064
APOA1,0.01019334089058743,0.006462425227459468,0.02980440578581667,0.02454228789914074,0.0,0.0019094963651789126,0.003788318236786585,0.025222649447205914
APOB,0.036542744849823526,0.010539761583694442,0.0,0.019698686649700117,0.0,0.0038189927303578252,0.009966799165159189,0.03072381754688802
APOD,0.23428075215088207,0.03161928475108332,0.07387007493637544,0.04750178276267425,0.0,0.007460193391466142,0.003788318236786585,0.044944130794729725
APOO,0.0,0.0,0.0,0.0017114745199010995,0.0,0.0,0.004780325383172037,0.0
APP,0.0,0.008154672712469944,0.0,0.006135571974785185,0.0,0.0,0.0,0.0
APPL1,0.02038668178117486,0.004077336356234972,0.025672117798516494,0.005134423559703298,0.02390162691586018,0.0,0.0023901626915860184,0.0
APPL2,0.036542744849823526,0.060160639244728135,0.29959168933687974,0.07349818221312836,0.0,0.00493597649925084,0.04365551489742333,0.0
APRT,0.01615606306864867,0.03669602720611475,0.5221670252782101,0.042367359202970946,0.26112079258690973,0.005728489095536737,0.013348969003130658,0.0
AQR,0.0,0.028541354493644804,0.0,0.006845898079604398,0.0,0.0019094963651789126,0.01195081345793009,0.0
ARCN1,0.07308548969964705,0.05708270898728961,0.20004949660198784,0.1372422432440256,0.4960755777573604,0.0038189927303578252,0.060972512486095795,0.005501168099682105
ARF4,1.1069290010274475,0.7824110798181326,0.9409554393624343,1.0576043686064296,0.8645200529591177,1.2724969645671897,1.043446765077675,1.295553155028656
ARF6,0.0,0.02038668178117486,0.025672117798516494,0.030806541358219787,0.5339587601252263,0.0,0.010958806311544639,0.0
ARG1,0.07308548969964705,0.09993459670828139,0.16904993301732726,0.11757701593600041,0.0856864361995862,0.05707598592022597,0.10264401309074823,0.07110156623920853
ARGLU1,0.01019334089058743,0.02038668178117486,0.012836058899258247,0.003422949039802199,0.0,0.0,0.007170488074758054,0.0
ARHGAP1,0.02038668178117486,0.06831531195719806,0.3509359249339128,0.087318659856631,0.7571963703442701,0.015600442094038417,0.03725059591899084,0.0
ARHGAP17,0.02038668178117486,0.012232009068704915,0.08985241229480773,0.015403270679109895,0.0,0.0019094963651789126,0.035852440373790276,0.01100233619936421
ARHGDIA,0.8224122808941317,0.5875359885994652,0.7222165218801978,0.6930650566349275,0.8248397671036996,0.391642998420564,0.749979154568207,0.32037264257093373
ARHGDIB,0.0,0.006462425227459468,0.7653829027601191,0.0,0.6954115610605444,0.0,0.0,0.0
ARHGEF1,0.0,0.0,0.012836058899258247,0.0017114745199010995,0.02390162691586018,0.0,0.0,0.0
ARHGEF12,0.0,0.004077336356234972,0.0,0.0,0.16731138841102128,0.0,0.0,0.0
ARHGEF17,0.0,0.0,0.0,0.0,0.14340976149516108,0.0,0.0023901626915860184,0.005501168099682105
ARHGEF2,0.0,0.04077336356234972,0.0,0.0017114745199010995,0.0,0.0019094963651789126,0.03625858877260539,0.0
ARHGEF6,0.01019334089058743,0.02446401813740983,0.11552453009332421,0.04149767872497255,0.29088100697847336,0.014305666255895896,0.026697938006261315,0.01100233619936421
ARID1A,0.01019334089058743,0.016309345424939888,0.0,0.0,0.0,0.0,0.01195081345793009,0.01100233619936421
ARL1,0.046736085740410965,0.03669602720611475,0.15403270679109896,0.0816025916764024,0.14747124548331222,0.0,0.014340976149516108,0.005501168099682105
ARL3,0.22445277949554626,0.31280835254081213,0.0,0.5330895915838978,0.2611207925869098,0.08266083829794584,0.41815658026201374,0.10121458187231774
ARL6IP5,0.01019334089058743,0.008154672712469944,0.4429695045556905,0.014692944574290684,0.0,0.0019094963651789126,0.0,0.0
ARL8A,0.09174006801528688,0.008154672712469944,0.14119664789184072,0.032518015878120886,0.0,0.0,0.0023901626915860184,0.0
ARL8B,0.0,0.056083302888493156,0.4482969503418347,0.08001979864079514,0.07170488074758054,0.0038189927303578252,0.020925605476703826,0.016503504299046314
ARPC1A,0.5906466397752377,0.5486807317772759,0.012836058899258247,0.48067728888843303,0.8108582116516939,0.1917954893198591,0.6040462477340097,0.10960974293698325
ARPC1B,0.01019334089058743,0.0,0.789313048169023,0.003422949039802199,0.35266581626219934,0.0,0.0,0.0
ARPC2,0.18599524706256187,0.18963599654545077,0.8290372810615639,0.10414258274537935,0.6994730450486955,0.040748366013971395,0.15757102729592198,0.005501168099682105
ARPC3,0.11982157544005802,0.21379344997027813,0.7958565501499334,0.09642421773498693,0.7432148148922646,0.03340062990768502,0.09263048622428438,0.0
ARPC4,0.5183275618570468,0.5262155258374589,0.9160392844254039,0.4491269620837191,0.8785016084111233,0.15348083379349947,0.5332438101556529,0.07244997129314025
ARPC5,0.5027552264522283,0.5399205614500232,0.9562894335127909,0.3872206876274006,0.8343314758089833,0.09849524515998785,0.46847577897630704,0.016503504299046314
ARPC5L,0.13424553504317166,0.09008767651080098,0.09736102540792188,0.06048325281706384,0.4243706970097799,0.015600442094038417,0.08343314758089831,0.0087191451481596
ARPIN,0.0,0.004077336356234972,0.0,0.006845898079604398,0.02390162691586018,0.0,0.007170488074758054,0.0
ARRB2,0.0,0.0,0.2567211779851649,0.0,0.0,0.0,0.0023901626915860184,0.0
ARSA,0.04405488637579398,0.03223905249024701,0.053525402924003054,0.07330815495106385,0.14747124548331222,0.0,0.04853376950308398,0.025222649447205914
ARSB,0.0,0.0,0.1925408834888737,0.006845898079604398,0.02390162691586018,0.0019094963651789126,0.0,0.0
ARVCF,0.0,0.0,0.0,0.011980321639307696,0.0,0.0,0.0,0.0
ASAH1,0.4775541982946971,0.1193218723906598,0.8823326373189273,0.21516730936482764,0.6715099341446841,0.059712660097621044,0.17056057560154217,0.10027979587504486
ASPRV1,0.08387915403906178,0.02754194839484835,0.0406893440247448,0.029676711458844044,0.02390162691586018,0.02165340236218227,0.03125571676482103,0.046715111360715524
ASS1,0.01615606306864867,0.006462425227459468,0.0,0.003422949039802199,0.0,0.0038189927303578252,0.003788318236786585,0.0
ATAD3A,0.0,0.02277177065239936,0.025672117798516494,0.03209851208356435,0.22909619769474732,0.0,0.030486256243047898,0.005501168099682105
ATAT1,0.08924155276829572,0.3130352052923455,0.0,0.010268847119406597,0.02390162691586018,0.02817440405400491,0.01195081345793009,0.0
ATG2A,0.04250546702788477,0.016309345424939888,0.012836058899258247,0.07650162745837402,0.03788318236786585,0.01257396195996649,0.0408592038070222,0.06550180671096645
ATIC,0.6160469478353917,0.22164155797016571,0.32526380713539627,0.5491418425900559,0.2850224195027699,0.04767207434540306,0.5289124694471532,0.08377629157599854
ATL1,0.01019334089058743,0.012232009068704915,0.0,0.003422949039802199,0.0,0.003026480134071927,0.006178480928372604,0.0
ATOX1,0.31081385299660225,0.26072267404750493,0.6556250133902967,0.20902895093725288,0.6575283786926783,0.054015283967976196,0.16456180502192477,0.005501168099682105
ATP1A1,0.0,0.0,0.05134423559703299,0.0,0.0,0.0,0.0023901626915860184,0.0
ATP1A2,0.11982157544005802,0.08462465738213795,0.07168890760940538,0.23583089863514503,0.8289012510918508,0.007460193391466142,0.0324702705358188,0.0
ATP1A3,0.03058002267176229,0.02038668178117486,0.0,0.0,0.02390162691586018,0.0,0.0,0.0
ATP1B1,0.0,0.004077336356234972,0.0,0.0027126229349829865,0.0,0.0,0.003788318236786585,0.0087191451481596
ATP1B3,0.02038668178117486,0.016309345424939888,0.025672117798516494,0.008557372599505498,0.5339587601252263,0.0,0.009560650766344074,0.0
ATP2A2,0.716231657490734,0.24711162052037072,0.2761007388653333,0.3864151393799626,0.6137866088491092,0.024177619254397573,0.4471940618331089,0.036224985646570125
ATP5F1A,1.128516329706277,0.728052274681324,1.0139471244240943,1.1443247321106231,0.8736223131603063,1.481687987221399,1.1014572293827507,1.494668360740299
ATP5F1B,1.1410420975112265,0.669105558962248,0.9647015681845984,1.070272374689892,0.8298805433167369,1.5527030092667058,1.0597935116289936,1.513833000817255
ATP5F1C,0.6150812561513128,0.29511996265744306,0.8552353150549268,0.656091853389864,0.8009381401878395,0.09875127269623926,0.6403048365066151,0.18839707689851853
ATP5F1D,0.5406456270063794,0.25911013852354353,0.7648569865652727,0.5520444927871037,0.7711779257962759,0.06557181876129727,0.5123610409548063,0.14294073561857
ATP5ME,0.15386580504289038,0.15571133488419212,0.5219369786115702,0.20363716440896185,0.5520017995653831,0.015924913266645534,0.20704560242420744,0.03249479811287381
ATP5MG,0.4335159077039001,0.22987594264368472,0.8108737763761616,0.49065531369757703,0.6755714181328352,0.051525288893938745,0.43564939677399395,0.05501168099682106
ATP5PB,0.01019334089058743,0.05200596653225818,0.3766080427324293,0.07817964263660017,0.43835225246178555,0.0019094963651789126,0.10259728538944357,0.005501168099682105
ATP5PD,0.5685801256244776,0.3605177617756844,0.8348906430425543,0.6536095410337194,0.7968766561996884,0.0778721706473832,0.5715810334125018,0.09603739785612972
ATP5PO,0.4742892712662498,0.2752733366543828,0.820333510149606,0.5538846487912985,0.7193131879764043,0.05023051305579622,0.5289124694471533,0.17166999421084764
ATP6AP1,0.01019334089058743,0.032618690849879776,0.2695572368844231,0.006845898079604398,0.02390162691586018,0.0,0.01195081345793009,0.0
ATP6AP2,0.0263494039592361,0.008154672712469944,0.2567211779851649,0.013272292364652258,0.0,0.0,0.0023901626915860184,0.0
ATP6V0D1,0.06462425227459467,0.04046679884976728,0.6139705582333479,0.006135571974785185,0.04780325383172036,0.0,0.00856864361995862,0.014220313247841706
ATP6V1A,0.168289764646004,0.18594493686284738,0.7411359894270865,0.036522609538448436,0.13348969003130656,0.014483458325145403,0.07432148148922646,0.0
ATP6V1B2,0.01615606306864867,0.06323856950216664,0.30710030244999387,0.020409012754519326,0.0,0.01257396195996649,0.012356961856745206,0.0
ATP6V1E1,0.036542744849823526,0.030926443364869303,0.39672266807816164,0.03391078165166361,0.0,0.004433713257394216,0.026697938006261315,0.0
ATP6V1H,0.01019334089058743,0.016309345424939888,0.20537694238813195,0.0017114745199010995,0.0,0.0019094963651789126,0.004780325383172037,0.0
ATRX,0.0,0.012232009068704915,0.0,0.0,0.0,0.0,0.0023901626915860184,0.0
ATXN10,0.06116004534352458,0.10431849777709878,0.025672117798516494,0.07530487887564837,0.0,0.015132400670359635,0.07648520613075258,0.014220313247841706
